seed,config,depth,cev_auroc,iav_auroc,fused_auroc,fused_acc,fused_f1,total_params
42,L8 (early),1,0.8060420952682386,0.7887228991929104,0.8073144484886849,0.73125,0.7026279391424619,4786948
42,L16 (mid),1,0.8240291185314131,0.805858521918025,0.8254249090045893,0.7325,0.713903743315508,4786948
42,L24 (late),1,0.8026618135780977,0.8044469061560373,0.8118025003956322,0.73,0.6878612716763006,4786948
42,L8+L16,2,0.8256907738566228,0.8174932742522552,0.8289191327741731,0.7475,0.7089337175792507,9505540
42,L8+L24,2,0.8055103655641715,0.804662130083874,0.8154992878620033,0.735,0.6918604651162791,9505540
42,L16+L24,2,0.8188289286279473,0.8131128343092262,0.8205317297040671,0.73375,0.6952789699570815,9505540
42,L8+L16+L24,3,0.8118404810887798,0.8147523342300997,0.8213040037980692,0.72625,0.6937062937062937,14224132
43,L8 (early),1,0.7773698369995252,0.7831365722424435,0.7917645197024845,0.7275,0.6716867469879518,4786948
43,L16 (mid),1,0.8075708181674316,0.8089571134673209,0.8175660705807881,0.7375,0.717741935483871,4786948
43,L24 (late),1,0.7903908846336446,0.7875296724165216,0.797689507833518,0.73125,0.7018030513176144,4786948
43,L8+L16,2,0.7988922297831935,0.7937078651685393,0.8134008545655957,0.74125,0.703012912482066,9505540
43,L8+L24,2,0.7897578730811837,0.7852888115208102,0.7943218863744264,0.71375,0.653555219364599,9505540
43,L16+L24,2,0.8064757081816745,0.7986706757398323,0.8127425225510365,0.73375,0.6926406926406926,9505540
43,L8+L16+L24,3,0.8015065674948567,0.7949485678113625,0.8140465263491059,0.73875,0.7043847241867044,14224132
44,L8 (early),1,0.793622408608957,0.7939832251938599,0.8001993986390252,0.7275,0.6894586894586895,4786948
44,L16 (mid),1,0.8218040829245132,0.8130748536160786,0.82678588384238,0.74625,0.7036496350364964,4786948
44,L24 (late),1,0.8021490742206046,0.7971989238803608,0.8045798385820542,0.72625,0.6793557833089312,4786948
44,L8+L16,2,0.8129988922297832,0.8080487418895395,0.8207849343250514,0.7425,0.6878787878787879,9505540
44,L8+L24,2,0.8023706282639658,0.7991549295774649,0.8042316822282006,0.73625,0.698140200286123,9505540
44,L16+L24,2,0.8015413831302421,0.8041050799177085,0.8118025003956323,0.7425,0.6988304093567251,9505540
44,L8+L16+L24,3,0.816106978952366,0.8079854407342935,0.8184048108877988,0.74125,0.6915052160953801,14224132
